t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
2.066559,123,-2.985,-218.519,-83.655,0.014586,-0.026515,-0.118708
2.083361,124,-4.391,-224.967,-72.7,-0.00058,-0.01599,-0.071285
2.100162,125,-0.81,-258.386,-77.605,0.086072,-0.032859,0.596724
2.116963,126,-1.561,-216.874,-90.712,0.012458,-0.014132,-0.172582
2.133765,127,-0.989,-259.463,-78.669,0.060325,-0.034104,0.590804
2.150566,128,0.611,-259.104,-76.377,0.089849,-0.025868,0.553695
2.167368,129,0.499,-261.677,-57.508,0.084797,-0.029073,0.477673
2.184169,130,0.798,-258.069,-66.193,0.072868,-0.022956,0.447755
2.20097,131,-0.924,-231.496,-72.003,-0.00223,0.003052,-0.053965
2.217772,132,-1.978,-236.136,-57.566,-0.027201,-0.001711,-0.05568
2.234573,133,0.011,-232.8,-71.959,-0.004988,0.003242,-0.049977
2.251374,134,-4.375,-240.37,-63.575,-0.094562,-0.006099,0.041834
2.268176,135,-0.19,-233.413,-76.313,-0.030486,-0.025055,-0.042473
2.284977,136,-0.379,-227.221,-87.765,-0.049331,-0.013951,-0.112646
2.301779,137,-2.362,-238.401,-75.997,-0.066828,-0.011612,0.034581
2.31858,138,-1.289,-234.026,-80.766,-0.055991,-0.023253,-0.042054
2.335381,139,-4.451,-242.997,-64.761,-0.096318,-0.007274,0.035655
2.352183,140,2.396,-265.431,-91.45,0.0596,-0.012661,0.617886
2.368984,141,0.596,-224.746,-99.735,-0.022585,-0.01252,-0.165307
2.385786,142,0.625,-230.98,-91.583,-0.004888,-0.012938,-0.09728
2.402587,143,0.378,-228.74,-98.594,-0.001724,-0.018329,-0.124787
2.419388,144,-1.644,-243.084,-77.135,-0.004054,-0.025652,0.015659
2.43619,145,-0.615,-233.366,-90.865,-0.002638,-0.027338,-0.115371
2.452991,146,-3.858,-246.816,-74.289,-0.024475,-0.027043,0.041435
2.469792,147,0.384,-233.585,-96.86,0.031521,-0.040805,-0.117647
2.486594,148,1.422,-266.983,-71.982,0.11531,-0.050045,0.372173
2.503395,149,-2.03,-251.356,-77.234,0.036021,-0.029299,0.086056
2.520197,150,-1.57,-237.081,-96.014,0.020063,-0.039384,-0.108337
2.536998,151,-5.917,-242.825,-88.894,-0.051879,-0.059977,-0.059762
2.5538,152,-4.451,-238.005,-102.821,-0.022416,-0.055366,-0.086245
2.570601,153,-2.129,-240.629,-98.635,0.04529,-0.045838,-0.092365
2.587402,154,-4.561,-257.774,-77.395,0.038976,-0.054868,0.095925
2.604204,155,-4.416,-245.532,-97.46,0.029011,-0.060295,-0.044467
2.621005,156,-7.075,-244.106,-102.536,-0.020318,-0.082156,-0.058066
2.637807,157,-5.781,-244.018,-101.583,0.015193,-0.052311,-0.104108
2.654608,158,-6.919,-282.473,-93.236,0.050327,-0.080114,0.572569
2.671409,159,-7.74,-252.283,-96.263,0.011172,-0.074929,-0.022584
2.688211,160,-8.788,-249.309,-104.782,-0.013498,-0.087849,-0.049902
2.705012,161,-8.572,-250.849,-102.285,0.010509,-0.076493,-0.071932
2.721814,162,-11.095,-287.935,-90.214,0.015036,-0.090856,0.546616
2.738615,163,-9.713,-256.213,-99.036,0.010682,-0.07942,-0.04895
2.755416,164,-9.73,-255.651,-104.495,0.00894,-0.084107,-0.052012
2.772218,165,-10.105,-260.307,-98.097,0.025819,-0.080801,-0.038972
2.789019,166,-9.421,-260.662,-100.484,0.040818,-0.080894,-0.04689
2.80582,167,-11.249,-264.393,-95.935,0.013487,-0.09949,-0.039651
2.822622,168,-14.641,-275.891,-89.559,-0.049918,-0.128432,0.13681
2.839424,169,-9.999,-266.793,-98.996,0.046728,-0.077606,-0.035763
2.856225,170,-10.131,-272.668,-90.215,0.056713,-0.065678,-0.015976
2.873026,171,-10.491,-264.711,-103.433,0.040831,-0.0397,-0.120524
2.889828,172,-13.502,-307.731,-99.385,0.002513,-0.082718,0.674735
